f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24
0.656961,0.012290899999999999,0.286177,0.0207976,0.122608,0.8190390000000001,0.764212,0.337248,0.605468,0.312697,0.902847,0.43982299999999996,0.28721199999999997,0.6340399999999999,0.728008,0.591596,0.44079300000000005,0.314308,0.451791,0.8573370000000001,0.334329,1.03647,0.339098,1.0368700000000002
0.6110329999999999,0.0138078,0.31580199999999997,0.0238858,0.286643,0.880199,0.8520620000000001,0.46966800000000003,0.451103,0.266341,0.9423239999999999,0.297111,0.42629300000000003,0.723488,0.7902,0.703523,0.29982,0.431432,0.577372,0.8226979999999999,0.365045,1.03179,0.369371,1.0290700000000002
0.68723,0.016101,0.334916,0.029446899999999998,0.5015310000000001,0.947032,0.9619559999999999,0.655634,0.317641,0.339928,0.973884,0.197284,0.28781799999999996,0.6599689999999999,0.770759,0.590867,0.576344,0.28905,0.415446,0.9029799999999999,0.45296099999999995,0.867333,0.458575,0.861451
0.635429,0.0126319,0.291195,0.0199424,0.16276500000000002,0.81082,0.762688,0.372236,0.5536479999999999,0.33285,0.9086989999999999,0.392687,0.354428,0.665938,0.75088,0.641996,0.398992,0.351823,0.499708,0.809976,0.327736,1.04285,0.336909,1.0361799999999999
0.61417,0.013550999999999999,0.31246399999999996,0.0228762,0.262816,0.906536,0.8738379999999999,0.413105,0.487335,0.24718600000000002,0.949257,0.34723899999999996,0.42053100000000004,0.7356659999999999,0.812018,0.711591,0.328754,0.41425100000000004,0.566117,0.802195,0.383062,0.987418,0.381786,0.985107
0.636976,0.0126754,0.295158,0.021183700000000003,0.160717,0.850927,0.76912,0.366873,0.553454,0.309614,0.926522,0.384261,0.33899,0.667495,0.758392,0.6351760000000001,0.400538,0.355615,0.49205699999999997,0.8264030000000001,0.380148,1.00315,0.381537,0.9985729999999999
0.643243,0.011692200000000002,0.30643000000000004,0.0219254,0.224744,0.8580110000000001,0.8215049999999999,0.41508,0.506206,0.27492,0.92155,0.360505,0.311257,0.632467,0.722008,0.601525,0.41411000000000003,0.346925,0.47244899999999995,0.813714,0.31595100000000004,1.06473,0.303531,1.07037
0.677647,0.0166768,0.301838,0.0223891,0.20382,0.852139,0.804369,0.405969,0.53296,0.262894,0.934765,0.36695300000000003,0.305201,0.653628,0.742039,0.6145649999999999,0.507869,0.23615999999999998,0.454099,0.927484,0.34511,1.0213,0.33123,1.02462
0.675614,0.014382399999999998,0.305684,0.0215928,0.206177,0.882495,0.833834,0.375419,0.515409,0.278089,0.938581,0.36127800000000004,0.26809499999999997,0.6380060000000001,0.736538,0.5881770000000001,0.5004810000000001,0.269331,0.42835100000000004,0.895812,0.356375,1.02163,0.377353,1.0127700000000002
0.662266,0.014485499999999998,0.299847,0.0231081,0.185473,0.881041,0.813081,0.37198600000000004,0.561866,0.24270300000000003,0.947464,0.39333,0.303399,0.668924,0.764662,0.621437,0.47056800000000004,0.308557,0.458525,0.877669,0.397529,0.9678959999999999,0.38961799999999996,0.972051
0.6686439999999999,0.0123678,0.28805,0.0216328,0.137154,0.8278,0.763903,0.332757,0.624843,0.297469,0.9157879999999999,0.476112,0.246094,0.6092310000000001,0.714529,0.56183,0.48067600000000005,0.283352,0.418842,0.870394,0.350396,1.01439,0.36073299999999997,1.00423
0.649162,0.0133209,0.30852399999999996,0.024299099999999997,0.251661,0.8696719999999999,0.827311,0.44821400000000006,0.5185489999999999,0.212493,0.93222,0.361811,0.309749,0.642845,0.726479,0.609114,0.397903,0.33347899999999997,0.49144499999999997,0.873782,0.355115,1.0176100000000001,0.365796,1.0095299999999998
0.623229,0.015078799999999998,0.313203,0.0228812,0.259013,0.90249,0.850671,0.42693000000000003,0.483283,0.255548,0.9451930000000001,0.33469,0.41003,0.7380260000000001,0.811481,0.7134550000000001,0.309381,0.382695,0.565196,0.8523540000000001,0.381472,0.987282,0.39124699999999996,0.9807389999999999
0.658107,0.0125377,0.258273,0.0219707,0.142258,0.807192,0.676932,0.24333000000000002,0.773324,0.439997,0.8976799999999999,0.621145,0.29279,0.632578,0.729476,0.5915739999999999,0.46448199999999995,0.321156,0.44477700000000003,0.848469,0.34272600000000003,1.01655,0.344099,1.0147
0.617533,0.0123496,0.312033,0.0224285,0.275598,0.862527,0.808489,0.471655,0.445126,0.324922,0.9313950000000001,0.27463699999999996,0.370503,0.664519,0.7469140000000001,0.641178,0.352452,0.403238,0.532144,0.803833,0.387525,1.00158,0.347379,1.01937
0.6460020000000001,0.013144,0.298505,0.021678599999999996,0.18392,0.8517379999999999,0.786389,0.381035,0.539215,0.301526,0.924692,0.369937,0.302275,0.650849,0.745726,0.621754,0.389189,0.311364,0.481998,0.850242,0.401053,0.97564,0.36741799999999997,0.989326
0.625622,0.012961199999999999,0.298962,0.021238,0.20619200000000001,0.840316,0.771741,0.41173999999999994,0.513908,0.332302,0.9267540000000001,0.346058,0.36278,0.686096,0.77566,0.654898,0.374328,0.384429,0.5162680000000001,0.816204,0.397613,0.9876520000000001,0.380483,0.994776
0.620408,0.0132019,0.31817199999999995,0.0231257,0.32171700000000003,0.861181,0.835843,0.48859600000000003,0.394758,0.391796,0.920083,0.25364200000000003,0.368132,0.668812,0.752717,0.64181,0.36839,0.399523,0.524346,0.810791,0.41145,0.9825459999999999,0.389954,0.987139
0.609935,0.0202552,0.31043000000000004,0.0264645,0.297748,0.9092629999999999,0.8966620000000001,0.447632,0.534373,0.155585,0.958084,0.378917,0.529688,0.814483,0.873274,0.812627,0.278233,0.46714700000000003,0.66565,0.8334950000000001,0.529621,0.8652040000000001,0.5081,0.865756
0.63945,0.0142308,0.297131,0.0254262,0.229129,0.851406,0.792983,0.42018199999999994,0.561484,0.285853,0.9373809999999999,0.38016,0.347283,0.685625,0.768517,0.656407,0.367735,0.347267,0.5164489999999999,0.8669040000000001,0.375329,0.966173,0.36157,0.968192
0.53691,0.014218100000000001,0.329671,0.022860299999999997,0.365315,0.902681,0.8539450000000001,0.5178550000000001,0.33870100000000003,0.41206499999999996,0.948049,0.24735100000000002,0.557557,0.76613,0.835794,0.766221,0.35838000000000003,0.5780770000000001,0.670928,0.6256149999999999,0.36451300000000003,1.02776,0.35647399999999996,1.03241
0.517077,0.0149237,0.33403,0.022512599999999997,0.376408,0.8959299999999999,0.885689,0.5362899999999999,0.338177,0.358648,0.949699,0.258996,0.625838,0.807416,0.861857,0.819144,0.337473,0.638925,0.733011,0.598164,0.333848,1.0839,0.33568200000000004,1.08191
0.53691,0.014218100000000001,0.329671,0.022860299999999997,0.365315,0.902681,0.8539450000000001,0.5178550000000001,0.33870100000000003,0.41206499999999996,0.948049,0.24735100000000002,0.557557,0.76613,0.835794,0.766221,0.35838000000000003,0.5780770000000001,0.670928,0.6256149999999999,0.36451300000000003,1.02776,0.35647399999999996,1.03241
0.517077,0.0149237,0.33403,0.022512599999999997,0.376408,0.8959299999999999,0.885689,0.5362899999999999,0.338177,0.358648,0.949699,0.258996,0.625838,0.807416,0.861857,0.819144,0.337473,0.638925,0.733011,0.598164,0.333848,1.0839,0.33568200000000004,1.08191
0.844039,0.0187828,0.24781199999999998,0.0295483,0.31714200000000003,0.8688530000000001,0.716356,0.19464800000000002,0.857743,0.619228,0.939758,0.742548,0.396113,0.189163,0.257832,0.0962693,0.880417,0.533432,0.40812600000000004,0.964752,0.48568900000000004,0.832642,0.5117619999999999,0.8230059999999999
0.863591,0.019582099999999998,0.26477399999999995,0.029401599999999996,0.289152,0.9194760000000001,0.837634,0.13411700000000001,0.809303,0.498986,0.9649,0.687697,0.47122600000000003,0.283943,0.276419,0.195916,0.9117649999999999,0.5951770000000001,0.486375,0.9801110000000001,0.602229,0.756797,0.633523,0.743582
0.8265620000000001,0.0173076,0.264635,0.0289711,0.267823,0.908466,0.8086770000000001,0.10853399999999999,0.820419,0.488338,0.9613790000000001,0.695337,0.346639,0.22772199999999998,0.32460300000000003,0.14018699999999998,0.858038,0.47501499999999997,0.350198,0.9757889999999999,0.574558,0.78117,0.579769,0.780393
0.833458,0.019207,0.24665700000000002,0.0288421,0.324598,0.882357,0.69938,0.183542,0.8740389999999999,0.622128,0.938715,0.751135,0.37446799999999997,0.22429000000000002,0.326457,0.105939,0.892443,0.5071760000000001,0.375992,0.979095,0.589277,0.766598,0.602693,0.761429
0.828774,0.0183018,0.271356,0.0339713,0.352491,0.9335610000000001,0.866541,0.21470100000000003,0.85911,0.455561,0.964232,0.734228,0.367603,0.236749,0.347012,0.12485299999999999,0.8880379999999999,0.501448,0.356894,0.96831,0.617282,0.7184729999999999,0.619075,0.721572
0.811376,0.017382299999999996,0.27410300000000004,0.030776400000000002,0.289352,0.9319870000000001,0.8507309999999999,0.208587,0.820923,0.387436,0.9673799999999999,0.682399,0.323455,0.299265,0.427702,0.174183,0.8807010000000001,0.448392,0.326257,0.976407,0.575195,0.772117,0.569642,0.775291
0.818365,0.0164203,0.277723,0.034972300000000005,0.354223,0.9428610000000001,0.8900680000000001,0.260425,0.818249,0.407002,0.970332,0.699802,0.330214,0.314722,0.416342,0.161553,0.875893,0.45044700000000004,0.35342199999999996,0.976959,0.5684899999999999,0.76103,0.5721649999999999,0.757351
0.8211950000000001,0.0166428,0.25100900000000004,0.0269,0.269816,0.8726709999999999,0.694607,0.16885,0.82985,0.582679,0.938842,0.713052,0.327785,0.248833,0.325096,0.182529,0.819028,0.450165,0.366703,0.9708200000000001,0.524688,0.8258620000000001,0.5224409999999999,0.8281120000000001
0.80742,0.0175787,0.27064,0.0371041,0.413829,0.937464,0.8921620000000001,0.26767399999999997,0.8856459999999999,0.508608,0.9707370000000001,0.776712,0.303726,0.313795,0.45070600000000005,0.191742,0.867691,0.42317200000000005,0.310699,0.973295,0.6223609999999999,0.7017760000000001,0.62036,0.7014319999999999
0.8350350000000001,0.0197775,0.24867199999999998,0.033663599999999995,0.406584,0.916592,0.782324,0.23141199999999998,0.9101549999999999,0.662946,0.963535,0.805704,0.37755900000000003,0.20614000000000002,0.326768,0.128158,0.8799959999999999,0.508282,0.381606,0.968831,0.601763,0.7285699999999999,0.632332,0.714919
0.83742,0.018073699999999998,0.27125,0.0326525,0.33366999999999997,0.918802,0.8691030000000001,0.23417,0.8546860000000001,0.43489300000000003,0.952298,0.726792,0.387594,0.24124600000000002,0.312218,0.146453,0.874742,0.522285,0.380662,0.957037,0.600622,0.743209,0.600013,0.7472260000000001
0.851576,0.0185922,0.25731,0.0261496,0.22366,0.863122,0.720421,0.114271,0.810225,0.517038,0.936969,0.6764020000000001,0.42471499999999995,0.222181,0.271504,0.11022,0.8972469999999999,0.553856,0.43583500000000003,0.9629110000000001,0.557226,0.82258,0.558044,0.8232370000000001
0.8442040000000001,0.017811900000000002,0.269493,0.031807999999999996,0.300481,0.910958,0.8364799999999999,0.173422,0.8338770000000001,0.45979799999999993,0.946468,0.7150350000000001,0.398646,0.23725700000000002,0.306814,0.10361400000000001,0.8938649999999999,0.528144,0.406557,0.973741,0.557139,0.787175,0.550968,0.789253
0.822889,0.0179835,0.276574,0.0306389,0.281873,0.916378,0.8608040000000001,0.224332,0.8046939999999999,0.36525599999999997,0.9553510000000001,0.667782,0.341016,0.24218299999999998,0.375612,0.141337,0.8825790000000001,0.47621800000000003,0.338846,0.9696549999999999,0.542413,0.799024,0.5522229999999999,0.7918229999999999
0.8132199999999999,0.017685299999999998,0.27969,0.0259499,0.21269000000000002,0.9320290000000001,0.839411,0.21582300000000001,0.727973,0.333554,0.966325,0.582756,0.313539,0.25093499999999996,0.34881599999999996,0.19892100000000001,0.804407,0.44476899999999997,0.346138,0.959591,0.595497,0.78367,0.6168060000000001,0.780158
0.8325520000000001,0.018679400000000002,0.25087800000000005,0.0327999,0.386117,0.910078,0.761914,0.186462,0.90786,0.641529,0.959707,0.800531,0.38008000000000003,0.2421,0.33307,0.11163599999999999,0.896543,0.508644,0.366952,0.9797879999999999,0.6260939999999999,0.721404,0.632739,0.720601
0.8545229999999999,0.0193933,0.250157,0.0274718,0.277638,0.891625,0.690445,0.160505,0.8443370000000001,0.5784520000000001,0.945282,0.715341,0.43777299999999997,0.194156,0.24233000000000002,0.10435,0.9033479999999999,0.570749,0.44765200000000005,0.9675799999999999,0.5525909999999999,0.805565,0.575222,0.7972819999999999
0.847893,0.0192547,0.26103200000000004,0.028661000000000002,0.278411,0.921557,0.7999609999999999,0.124115,0.8120569999999999,0.521708,0.965153,0.689841,0.417847,0.234645,0.270477,0.125873,0.8886879999999999,0.5491199999999999,0.428345,0.978712,0.6032489999999999,0.7744949999999999,0.6093890000000001,0.7694409999999999
0.8124520000000001,0.017412999999999998,0.278523,0.0287748,0.24887600000000001,0.918119,0.8530049999999999,0.220892,0.7762600000000001,0.333048,0.9643790000000001,0.627845,0.334039,0.281411,0.39437300000000003,0.214092,0.8561110000000001,0.46091400000000005,0.335949,0.973009,0.570527,0.792646,0.565361,0.793928
0.815913,0.019378799999999998,0.27874299999999996,0.0333849,0.348659,0.925007,0.9018280000000001,0.27134400000000003,0.7992739999999999,0.38379,0.9667959999999999,0.6738850000000001,0.331728,0.29086,0.44431800000000005,0.186968,0.8816440000000001,0.449824,0.32607600000000003,0.964809,0.565286,0.753001,0.565369,0.752315
0.8347,0.0196245,0.254011,0.0351157,0.43199899999999997,0.932889,0.835398,0.22916599999999998,0.921175,0.648948,0.969641,0.821443,0.38903899999999997,0.207302,0.329901,0.122554,0.891898,0.5168689999999999,0.382348,0.960449,0.6234850000000001,0.700858,0.619644,0.703375
0.8226680000000001,0.0178495,0.279634,0.0383379,0.42329700000000003,0.943317,0.9092809999999999,0.35649400000000003,0.865115,0.403801,0.972189,0.743262,0.355315,0.258191,0.373924,0.165608,0.882091,0.485433,0.331818,0.9740030000000001,0.63808,0.6796479999999999,0.643519,0.677128
0.8250280000000001,0.0177074,0.257846,0.031116,0.326753,0.909532,0.790452,0.12707100000000002,0.86282,0.566868,0.960508,0.747817,0.35727800000000004,0.258029,0.348582,0.14936,0.882094,0.49282,0.35652,0.980095,0.566639,0.776552,0.5873229999999999,0.765524
0.8549329999999999,0.020615,0.257465,0.0315683,0.305425,0.8977959999999999,0.794582,0.179306,0.822011,0.5663130000000001,0.946984,0.710431,0.45194799999999996,0.18604,0.23248899999999997,0.11863800000000001,0.911642,0.5812149999999999,0.45247600000000004,0.968939,0.577412,0.771885,0.588701,0.766487
0.860281,0.0226993,0.14488399999999999,0.0315012,0.789953,0.354738,0.616301,0.866267,0.980275,0.939542,0.811321,0.9246200000000001,0.505718,0.164261,0.22941799999999998,0.226782,0.92561,0.636601,0.497697,0.965514,0.6134310000000001,0.729329,0.601627,0.734132
0.879358,0.0254574,0.139819,0.0336,0.817621,0.307711,0.646081,0.8929549999999999,0.986308,0.9533879999999999,0.80001,0.9369860000000001,0.577112,0.202707,0.14111300000000002,0.28631599999999996,0.9462219999999999,0.700541,0.571972,0.9901030000000001,0.677696,0.680673,0.677184,0.68014
0.868022,0.0228855,0.140743,0.0337213,0.814435,0.319439,0.696186,0.8833139999999999,0.993707,0.94619,0.811534,0.9449190000000001,0.520247,0.157224,0.170964,0.22384899999999996,0.9276540000000001,0.649269,0.5114609999999999,0.9795360000000001,0.630202,0.705774,0.6240399999999999,0.707857
0.8568459999999999,0.0223375,0.148898,0.0343525,0.780183,0.411608,0.614604,0.856497,0.975007,0.9271450000000001,0.8537299999999999,0.917824,0.48682200000000003,0.170948,0.250136,0.205833,0.926105,0.615978,0.479362,0.975999,0.623691,0.696928,0.6183310000000001,0.7021689999999999
0.875842,0.023174900000000002,0.13622599999999999,0.0322641,0.794454,0.230187,0.6827310000000001,0.868099,0.980554,0.933557,0.771473,0.9293540000000001,0.544714,0.190067,0.125479,0.261238,0.908593,0.673505,0.549412,0.960859,0.643045,0.709858,0.622804,0.723974
0.844023,0.0216831,0.129547,0.037199,0.8458120000000001,0.152526,0.77346,0.918315,0.976951,0.9502799999999999,0.772709,0.9416479999999999,0.43262799999999996,0.13877,0.291829,0.213325,0.885149,0.5625100000000001,0.417571,0.9701799999999999,0.646203,0.670592,0.651705,0.668972
0.8595430000000001,0.0225782,0.111947,0.0354301,0.862175,0.31616500000000003,0.795589,0.9218139999999999,0.9955229999999999,0.9619719999999999,0.637147,0.959526,0.48623500000000003,0.19168,0.234587,0.21148000000000003,0.910424,0.614442,0.462372,0.976461,0.697154,0.650543,0.663148,0.669517
0.8734299999999999,0.0252764,0.12573499999999999,0.039780199999999995,0.823002,0.145216,0.787353,0.8913030000000001,0.9606790000000001,0.9257200000000001,0.786895,0.9230870000000001,0.5606949999999999,0.198614,0.15883599999999998,0.293896,0.90802,0.687037,0.553354,0.9495600000000001,0.715672,0.627265,0.6902699999999999,0.639127
0.896951,0.0246422,0.15576199999999998,0.0290816,0.699176,0.38960300000000003,0.574331,0.7801899999999999,0.929409,0.8741709999999999,0.8364370000000001,0.8664860000000001,0.610693,0.319542,0.193807,0.33870100000000003,0.9340219999999999,0.72941,0.626448,0.9823379999999999,0.611305,0.759854,0.594766,0.764129
0.86735,0.021105000000000002,0.124294,0.032144099999999995,0.789691,0.194467,0.7439640000000001,0.860707,0.9645030000000001,0.912537,0.663647,0.9156299999999999,0.493717,0.14663800000000002,0.167875,0.198414,0.9042129999999999,0.6263449999999999,0.48702,0.963559,0.582643,0.754881,0.569272,0.760775
0.867401,0.021860400000000002,0.148886,0.026736700000000002,0.706601,0.35935700000000004,0.5700310000000001,0.794006,0.9404299999999999,0.879366,0.746792,0.870059,0.496375,0.165492,0.156952,0.19311199999999998,0.9110719999999999,0.6290640000000001,0.494119,0.974356,0.557615,0.805417,0.554481,0.807012
0.8885870000000001,0.025636799999999998,0.143604,0.034988,0.7572760000000001,0.310847,0.671513,0.8356610000000001,0.951635,0.9052870000000001,0.7901699999999999,0.897639,0.585504,0.31309899999999996,0.244339,0.343156,0.906178,0.702202,0.6055149999999999,0.95762,0.582803,0.7441,0.56919,0.749445
0.885631,0.0243425,0.146464,0.0332654,0.743883,0.31716500000000003,0.6395489999999999,0.8131229999999999,0.97556,0.9028729999999999,0.8391059999999999,0.909292,0.58843,0.250114,0.11389300000000001,0.29415399999999997,0.937657,0.713151,0.591619,0.9884620000000001,0.6885760000000001,0.675381,0.641877,0.698581
0.8685370000000001,0.022572599999999998,0.113988,0.038690800000000004,0.842332,0.286156,0.8122010000000001,0.903676,0.9691299999999999,0.933494,0.6786840000000001,0.9342600000000001,0.522624,0.20080399999999998,0.21008600000000002,0.24968800000000002,0.915544,0.6517470000000001,0.506599,0.956347,0.659672,0.6554260000000001,0.640131,0.671272
0.874501,0.021894,0.152827,0.030338499999999997,0.6999489999999999,0.34449,0.600263,0.7788,0.9373790000000001,0.870782,0.8451700000000001,0.8707790000000001,0.5297109999999999,0.190994,0.149273,0.23666900000000002,0.9200530000000001,0.65951,0.533285,0.984874,0.6317560000000001,0.732554,0.593374,0.751857
